id	time	stream	text	tu	rel	ant	context
59	277.67	DM->CMD	"Can you repeat that?  <beep>"	12	58	req-repeat	None
60	279.679999999999	CMD	"robot turn right <pause> thirteen degrees"	12	59	clar-repeat	None
61	284.93	DM->CMD	"ok"	12	60	ack-wilco	None
62	291.37	DM->RN	"turn right 13 degrees"	12	60	translation-r-direct	None
63	295.26	DM->CMD	"turning. . ."	12	60	ack-doing	None
64	297.63	RN	"done"	12	62	ack-done	None
65	298.429999999999	CMD	"robot take a picture"	13	None	None	None
66	298.89	DM->CMD	"done"	12	64	translation-l	None
67	301.31	DM->RN	"send image"	13	65	translation-r-direct	None
68	302.42	RN	"sent"	13	67	ack-done	None
69	303.79	DM->CMD	"sent"	13	68	translation-l	None
70	304.61	CMD	"robot move forward one foot"	14	None	None	None
71	309.48	DM->CMD	"ok"	14	70	ack-wilco	None
72	312.17	DM->RN	"move forward 1 foot"	14	70	translation-r-direct	None
73	314.05	DM->CMD	"moving. . ."	14	70	ack-doing	None
74	319.31	RN	"done"	14	72	ack-done	None
75	320.12	CMD	"robot turn right ninety degrees"	15	None	None	None
76	320.65	DM->CMD	"I moved forward 1 foot"	14	74	translation-l	None
77	325.66	DM->CMD	"ok"	15	75	ack-wilco	None
78	329.69	DM->RN	"turn right 90 degrees"	15	75	translation-r-direct	None
79	330.51	DM->CMD	"I will turn right 90 degrees"	15	75	ack-wilco	None
80	333.2	DM->CMD	"turning. . ."	15	75	ack-doing	None
81	343.81	RN	"done"	15	78	ack-done	None
82	343.939999999999	CMD	"robot take a picture"	16	None	None	None
83	345.63	DM->CMD	"done"	15	81	translation-l	None
84	347.36	DM->RN	"send image"	16	82	translation-r-direct	None
85	348.67	RN	"sent"	16	84	ack-done	None
86	349.62	CMD	"robot turn right 180 degrees"	17	None	None	None
87	350.3	DM->CMD	"sent"	16	85	translation-l	None
88	354.61	DM->CMD	"ok"	17	86	ack-wilco	None
89	358.32	DM->RN	"turn right 180"	17	86	translation-r-direct	None
90	361.54	DM->CMD	"turning. . ."	17	86	ack-doing	None
91	380.79	RN	"done"	17	89	ack-done	None
92	381.62	CMD	"robot take a picture"	18	None	None	None
93	382.46	DM->CMD	"done"	17	91	translation-l	None
94	384.06	DM->RN	"send image"	18	92	translation-r-direct	None
95	385.86	RN	"sent"	18	94	ack-done	None
96	386.93	DM->CMD	"sent"	18	95	translation-l	None
97	389.419999999999	CMD	"robot turn right ninety degrees"	19	None	None	None
98	393.01	DM->CMD	"ok"	19	97	ack-wilco	None
99	396.46	DM->RN	"turn right 90 degrees"	19	97	translation-r-direct	None
100	399.09	DM->CMD	"I will turn right 90 degrees"	19	97	ack-wilco	None
101	401	DM->CMD	"turning. . ."	19	97	ack-doing	None
102	409.1	RN	"done"	19	99	ack-done	None
103	410.37	CMD	"robot take a picture"	20	None	None	None
104	410.5	DM->CMD	"done"	19	102	translation-l	None
105	412.86	DM->RN	"send image"	20	103	translation-r-direct	None
106	414.16	RN	"sent"	20	105	ack-done	None
107	414.96	DM->CMD	"sent"	20	106	translation-l	None
108	416.65	CMD	"robot move forward one foot"	21	None	None	None
109	420.23	DM->CMD	"ok"	21	108	ack-wilco	None
110	423.14	DM->RN	"move forward 1 foot"	21	108	translation-r-direct	None
111	426.07	DM->CMD	"moving. . ."	21	108	ack-doing	None
112	429.11	RN	"done"	21	110	ack-done	None
113	429.95	CMD	"robot turn left <pause> ninety degrees"	22	None	None	None
114	430.54	DM->CMD	"done"	21	112	translation-l	None
115	435.43	DM->CMD	"ok"	22	113	ack-wilco	None
116	438.72	DM->RN	"turn left 90 degrees"	22	113	translation-r-direct	None
117	441.84	DM->CMD	"turning. . ."	22	113	ack-doing	None
118	451	RN	"done"	22	116	ack-done	None
119	451.22	CMD	"robot take a picture"	23	None	None	None
120	451.94	DM->CMD	"I turned left 90 degrees"	22	118	translation-l	None
121	454.1	DM->RN	"send image"	23	119	translation-r-direct	None
122	455.35	RN	"sent"	23	121	ack-done	None
123	457.19	DM->CMD	"sent"	23	122	translation-l	None
124	459.25	CMD	"<pause> robot turn right nine ty <ninety> degrees"	24	None	None	None
125	465.79	DM->CMD	"ok"	24	124	ack-wilco	None
126	468.37	DM->RN	"turn right 90 degrees"	24	124	translation-r-direct	None
127	471.88	DM->CMD	"turning. . ."	24	124	ack-doing	None
128	480.59	RN	"done"	24	126	ack-done	None
129	481.53	DM->CMD	"done"	24	128	translation-l	None
130	484.34	CMD	"robot take a picture"	25	None	None	None
131	487.32	DM->RN	"send image"	25	130	translation-r-direct	None
132	488.67	RN	"sent"	25	131	ack-done	None
133	490.66	DM->CMD	"sent"	25	132	translation-l	None
134	491.419999999999	CMD	"<pause> robot move forward <pause> five ff feet"	26	None	None	None
135	497	DM->CMD	"ok"	26	134	ack-wilco	None
136	500.12	DM->RN	"move forward 5 feet"	26	134	translation-r-direct	None
137	500.85	DM->CMD	"I will move forward 5 feet"	26	134	ack-wilco	None
138	503.37	DM->CMD	"moving. . ."	26	134	ack-doing	None
139	509.93	RN	"done"	26	136	ack-done	None
140	511.88	DM->CMD	"done"	26	139	translation-l	None
141	512.65	CMD	"robot turn left ninety degrees"	27	None	None	None
142	517.86	DM->CMD	"ok"	27	141	ack-wilco	None
143	520.59	DM->RN	"turn right 90 degrees"	27	141	translation-r-direct	None
144	521.94	DM->CMD	"I will turn right 90 degrees"	27	141	ack-wilco	None
145	524.45	DM->CMD	"turning. . ."	27	141	ack-doing	None
146	535.55	RN	"done"	27	143	ack-done	None
147	535.939999999999	CMD	"robot take a picture"	28	None	None	None
148	537.15	DM->CMD	"done"	27	146	translation-l	None
149	539.2	DM->RN	"send image"	28	147	translation-r-direct	None
150	540.29	RN	"sent"	28	149	ack-done	None
151	541.67	DM->CMD	"sent"	28	150	translation-l	None
152	583.9	CMD	"robot face south"	29	None	None	None
153	588.04	DM->CMD	"processing. . ."	29	152	processing	None
154	591.77	DM->RN	"turn to face South"	29	152	translation-r-contextual	None
155	593.27	DM->CMD	"I will turn to face South"	29	152	ack-wilco	None
156	603.22	RN	"uh done"	29	154	ack-done	None
157	605.49	DM->CMD	"done"	29	156	translation-l	None
158	609.29	CMD	"robot face north"	30	None	None	None
159	613.64	DM->CMD	"ok"	30	158	ack-wilco	None
160	616.62	DM->RN	"turn to face North"	30	158	translation-r-contextual	None
161	620.04	DM->CMD	"turning. . ."	30	158	ack-doing	None
162	640.15	RN	"uh done"	30	160	ack-done	None
163	640.189999999999	CMD	"robot take a picture"	31	None	None	None
164	642.71	DM->CMD	"I turned to face North"	30	162	translation-l	None
165	644.37	DM->RN	"send image"	31	163	translation-r-direct	None
166	645.87	RN	"uh sent"	31	165	ack-done	None
167	647.24	DM->CMD	"sent"	31	166	translation-l	None
168	652.329999999999	CMD	"robot face east"	32	None	None	None
169	656.85	DM->CMD	"ok"	32	168	ack-wilco	None
170	659.91	DM->RN	"turn to face East"	32	168	translation-r-contextual	None
171	661.2	DM->CMD	"I will turn to face East"	32	168	ack-wilco	None
172	664.3	DM->CMD	"turning. . ."	32	168	ack-doing	None
173	673.07	RN	"done"	32	170	ack-done	None
174	673.66	CMD	"robot take a picture"	33	None	None	None
175	675.63	DM->CMD	"done"	32	173	translation-l	None
176	676.63	DM->RN	"send image"	33	174	translation-r-direct	None
177	677.9	RN	"sent"	33	176	ack-done	None
178	679.34	DM->CMD	"sent"	33	177	translation-l	None
179	680.05	CMD	"robot go forward <pause> ten feet"	34	None	None	None
180	683.839999999999	CMD	"and face <pause> east"	34	179	continue	None
181	687.64	DM->CMD	"processing. . ."	34	180*	processing	None
182	692.55	DM->RN	"move forward 10 feet"	34	179	translation-r-direct	None
183	694.38	DM->CMD	"I will move forward 10 feet"	34	179	ack-wilco	None
184	695.68	DM->CMD	"and. . ."	34	183	link-next	None
185	696.43	DM->RN	"then. . ."	34	182	link-next	None
186	701.1	DM->RN	"turn to face East"	34	180	translation-r-contextual	None
187	702.16	DM->CMD	"I will turn to face East"	34	180	ack-wilco	None
188	709.03	RN	"uh done"	34	186*	ack-done	None
189	709.42	DM->CMD	"moving. . ."	34	179	ack-doing	None
190	709.55	CMD	"<pause> robot go forward five feet"	35	None	None	None
191	710.64	DM->CMD	"done"	34	188	translation-l	None
192	713.589999999999	CMD	"and face north"	35	190	continue	None
193	718.68	DM->CMD	"processing. . ."	35	192*	processing	None
194	722.9	DM->RN	"move forward 5 feet"	35	190	translation-r-direct	None
195	724.83	DM->RN	"then. . ."	35	194	link-next	None
196	726.59	DM->RN	"turn to face North"	35	192	translation-r-contextual	None
197	728.96	DM->CMD	"moving. . ."	35	190	ack-doing	None
198	734.74	CMD	"<no command>"	None	None	None	None
199	735.06	DM->CMD	"turning. . ."	35	192	ack-doing	None
200	744.5	RN	"done"	35	196*	ack-done	None
201	744.589999999999	CMD	"robot take a picture"	36	None	None	None
202	746.07	DM->CMD	"done"	35	200	translation-l	None
203	747.07	DM->RN	"send image"	36	201	translation-r-direct	None
204	748.28	RN	"sent"	36	203	ack-done	None
205	749.82	DM->CMD	"sent"	36	204	translation-l	None
206	752.4	CMD	"robot move south one foot"	37	None	None	None
207	760.51	DM->CMD	"ok"	37	206	ack-wilco	None
208	766.09	DM->RN	"move back 1 foot"	37	206	translation-r-situated	None
209	769.65	DM->CMD	"moving. . ."	37	206	ack-doing	None
210	772.77	RN	"done"	37	208	ack-done	None
211	774.39	DM->CMD	"done"	37	210	translation-l	None
212	774.55	CMD	"robot move south one foot "	38	None	None	None
213	779.35	DM->CMD	"ok"	38	212	ack-wilco	None
214	782.58	DM->RN	"move back 1 foot"	38	212	translation-r-situated	None
215	784.2	DM->CMD	"moving. . ."	38	212	ack-doing	None
216	789.81	RN	"done"	38	214	ack-done	None
217	790.55	CMD	"robot take a picture"	39	None	None	None
218	791.23	DM->CMD	"done"	38	216	translation-l	None
219	793.26	DM->RN	"send image"	39	217	translation-r-direct	None
220	794.79	RN	"sent"	39	219	ack-done	None
221	796.39	DM->CMD	"sent"	39	220	translation-l	None
222	800.61	CMD	"robot face east"	40	None	None	None
223	802.76	CMD	"<pause> and move forward five feet"	40	222	continue	None
224	807.97	DM->CMD	"processing. . ."	40	223*	processing	None
225	812.51	DM->RN	"turn to face East"	40	222	translation-r-contextual	None
226	813.43	DM->CMD	"I will turn to face East"	40	223	ack-wilco	None
227	814.93	DM->CMD	"and. . ."	40	226	link-next	None
228	815.73	DM->RN	"then. . ."	40	225	link-next	None
229	817.45	DM->RN	"move forward 5 feet"	40	223	translation-r-direct	None
230	818.28	DM->CMD	"I will move forward 5 feet"	40	223	ack-wilco	None
231	831.75	DM->CMD	"moving. . ."	40	223	ack-doing	None
232	841.04	RN	"uh done"	40	229*	ack-done	None
233	843.45	DM->CMD	"done"	40	232	translation-l	None
234	845.14	CMD	"robot take a picture"	41	None	None	None
235	847.82	DM->RN	"send image"	41	234	translation-r-direct	None
236	849.2	RN	"sent"	41	235	ack-done	None
237	850.74	DM->CMD	"sent"	41	236	translation-l	None
238	854.829999999999	CMD	"robot face west <pause>"	42	None	None	None
239	861.3	DM->CMD	"ok"	42	238	ack-wilco	None
240	865.3	DM->RN	"turn to face West"	42	238	translation-r-contextual	None
241	868.77	DM->CMD	"turning. . ."	42	238	ack-doing	None
242	889.52	RN	"done"	42	240	ack-done	None
243	890.939999999999	CMD	"robot move forward ten feet"	43	None	None	None
244	891.09	DM->CMD	"I turned to face West"	42	242	translation-l	None
245	894.9	CMD	"and take a picture every five seconds"	43	243	continue	None
246	897.579999999999	CMD	"over"	43	245	continue	None
247	901.17	DM->CMD	"processing. . ."	43	246*	processing	None
248	936.63	DM->CMD	"Hmm, I'm not sure what you would like me to do. <beep>"	43	246*	nack	None
249	938.65	DM->CMD	"Can you rephrase that?  <beep>"	43	246*	req-clar	None
250	947.02	CMD	"robot take a picture <unintelligible whisper>"	44	None	None	None
251	954.14	DM->RN	"send image"	44	250	translation-r-direct	None
252	955.58	RN	"sent"	44	251	ack-done	None
253	957.22	DM->CMD	"sent"	44	252	translation-l	None
254	961.61	CMD	"robot move forward ten feet "	45	None	None	None
255	964.329999999999	CMD	"and take a picture at every foot"	45	254	continue	None
256	969.97	DM->CMD	"processing. . ."	45	255*	processing	None
257	984.51	DM->RN	"Do the following 10 times. . ."	45	255*	translation-r-direct-partial	None
258	986.95	DM->RN	"move forward 1 foot"	45	257	continue	None
259	988.24	DM->RN	"then. . ."	45	258	link-next	None
260	989.49	DM->RN	"send image"	45	258	continue	None
261	995.99	DM->CMD	"moving. . ."	45	255*	ack-doing-partial	None
262	997.85	DM->CMD	"sent"	45	255*	ack-done-partial	None
263	1000.65	DM->CMD	"moving. . ."	45	255*	ack-doing-partial	None
264	1002.63	DM->CMD	"sent"	45	255*	ack-done-partial	None
265	1004.73	DM->CMD	"moving. . ."	45	255*	ack-doing-partial	None
266	1007.07	DM->CMD	"sent"	45	255*	ack-done-partial	None
267	1008.78	DM->CMD	"moving. . ."	45	255*	ack-doing-partial	None
268	1011.66	DM->CMD	"sent"	45	255*	ack-done-partial	None
269	1014.17	DM->CMD	"moving. . ."	45	255*	ack-doing-partial	None
270	1017.66	DM->CMD	"sent"	45	255*	ack-done-partial	None
271	1019.99	DM->CMD	"moving. . ."	45	255*	ack-doing-partial	None
272	1022.06	DM->CMD	"sent"	45	255*	ack-done-partial	None
273	1023.71	DM->CMD	"moving. . ."	45	255*	ack-doing-partial	None
274	1026.77	DM->CMD	"sent"	45	255*	ack-done-partial	None
275	1028.37	DM->CMD	"moving. . ."	45	255*	ack-doing-partial	None
276	1031.08	DM->CMD	"sent"	45	255*	ack-done-partial	None
277	1032.4	DM->CMD	"moving. . ."	45	255*	ack-doing-partial	None
278	1035.06	DM->CMD	"sent"	45	255*	ack-done-partial	None
279	1036.98	DM->CMD	"moving. . ."	45	255*	ack-doing-partial	None
280	1039.38	DM->CMD	"sent"	45	255*	ack-done-partial	None
281	1039.79	RN	"done"	45	260*	ack-done	None
282	1042.48	DM->CMD	"done"	45	281	translation-l	None
283	1043.3	CMD	"robot move forward <pause> fifteen feet"	46	None	None	None
284	1048.99	DM->CMD	"ok"	46	283	ack-wilco	None
285	1057.94	DM->RN	"move forward 15 feet"	46	283	translation-r-direct	None
286	1060.55	DM->CMD	"moving. . ."	46	283	ack-doing	None
287	1077.79	RN	"done"	46	285	ack-done	None
288	1079.66	DM->CMD	"done"	46	287	translation-l	None
289	1082.41	CMD	"robot face east"	47	None	None	None
290	1084.73	CMD	"and move forward five feet"	47	289	continue	None
291	1090.73	DM->CMD	"processing. . ."	47	290*	processing	None
292	1094.87	DM->RN	"turn to face East"	47	289	translation-r-contextual	None
293	1095.72	DM->CMD	"I will turn to face East"	47	289	ack-wilco	None
294	1097.33	DM->CMD	"and. . ."	47	293	link-next	None
295	1098.1	DM->RN	"then. . ."	47	292	link-next	None
296	1100.11	DM->RN	"move forward 5 feet"	47	290	translation-r-direct	None
297	1100.83	DM->CMD	"I will move forward 5 feet"	47	290	ack-wilco	None
298	1103.83	DM->CMD	"turning. . ."	47	289	ack-doing	None
299	1128.21	DM->CMD	"moving. . ."	47	290	ack-doing	None
300	1135.79	RN	"done"	47	296*	ack-done	None
301	1137.11	DM->CMD	"done"	47	300	translation-l	None
302	1138.3	CMD	"robot face north"	48	None	None	None
303	1140.41	CMD	"and move forward <pause> three feet"	48	302	continue	None
304	1145.8	DM->CMD	"processing. . ."	48	303*	processing	None
305	1157.11	DM->RN	"turn to face North"	48	302	translation-r-contextual	None
306	1158.22	DM->CMD	"I will turn to face North"	48	302	ack-wilco	None
307	1161.06	DM->CMD	"but. . ."	48	306	link-next	None
308	1163.53	DM->CMD	"I'm not sure if I can move that far forward.  <beep>"	48	303	ack-unsure	None
309	1164.79	DM->CMD	"I will move forward as far as I can, ok?  <beep>"	48	303	ack-try	None
310	1168.48	CMD	"<pause> okay yes"	48	309	answer	None
311	1169.94	RN	"done"	48	305	ack-done	None
312	1175.92	DM->RN	"move forward 3 feet"	48	310*	translation-r-direct	None
313	1180.59	DM->CMD	"moving. . ."	48	310*	ack-doing	None
314	1185.64	RN	"done"	48	312	ack-done	None
315	1186.79	CMD	"robot take a picture"	49	None	None	None
316	1186.83	DM->CMD	"done"	48	314*	translation-l	None
317	1191.33	DM->RN	"send image"	49	315	translation-r-direct	None
318	1192.68	RN	"sent"	49	317	ack-done	None
319	1194.74	DM->CMD	"sent"	49	318	translation-l	None
320	1201.75	CMD	"robot move about one foot"	50	None	None	None
321	1205.58	DM->CMD	"ok"	50	320	ack-wilco	None
322	1208.22	DM->RN	"move back 1 foot"	50	320	translation-r-situated	None
323	1209.02	DM->CMD	"I will move back 1 foot"	50	320	ack-wilco	None
324	1214.71	RN	"done"	50	322	ack-done	None
325	1215.15	CMD	"robot take a picture"	51	None	None	None
326	1215.9	DM->CMD	"done"	50	324	translation-l	None
327	1217.67	DM->RN	"send image"	51	325	translation-r-direct	None
328	1219.81	RN	"sent"	51	327	ack-done	None
329	1220.81	DM->CMD	"sent"	51	328	translation-l	None
330	1222.36	CMD	"robot move right one foot and take a picture"	52	None	None	None
331	1228.93	DM->CMD	"ok"	52	330	ack-wilco	None
332	1231.25	DM->RN	"move back 1 foot"	52	330	translation-r-situated-partial	None
333	1232.34	DM->RN	"then. . ."	52	332	link-next	None
334	1233.39	DM->RN	"send image"	52	332	continue	None
335	1238.23	RN	"uh done and sent"	52	334*	ack-done	None
336	1239.92	DM->CMD	"done, sent"	52	335	translation-l	None
337	1239.93	CMD	"<a: okay how many doorways were there>"	X-CMD	None	None	None
338	1243.37	CMD	"i saw <pause> two"	X-CMD	None	None	None
339	1246.28	CMD	"<a: two doorways okay>"	X-CMD	None	None	None
340	1247.42	CMD	"<a: how many cones were there>"	X-CMD	None	None	None
341	1248.96	CMD	"i saw two"	X-CMD	None	None	None
342	1249.82	CMD	"<a: two cones>"	X-CMD	None	None	None
343	1251.27	CMD	"<a: uh do you think there's any type of container in which a soldier might be able to move things>"	X-CMD	None	None	None
344	1256.2	CMD	"uhh <pause> a box that i see"	X-CMD	None	None	None
345	1259.82	CMD	"<a: you saw a box>"	X-CMD	None	None	None
346	1260.55	CMD	"that i see now"	X-CMD	None	None	None
347	1261.75	CMD	"<a: okay>"	X-CMD	None	None	None
348	1262.8	CMD	"and <pause> a ladder <pause> "	X-CMD	None	None	None
349	1268.57	CMD	"<a: okay>"	X-CMD	None	None	None
350	1268.9	CMD	"to reach things not necessarily move things"	X-CMD	None	None	None
351	1271.25	CMD	"<a: okay>"	X-CMD	None	None	None
352	1272.58	CMD	"<a: very good>"	X-CMD	None	None	None
353	1273.14	CMD	"<a:thank you>"	X-CMD	None	None	None
